id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
3965685;Lovely 2fl apartment - city centre;8705314;Huub;;De Baarsjes - Oud-West;5236571;487617;Entire home/apt;115;2;44;11.08.18;0.78;2;0
3966768;Complete apartment on best canal;19227354;Peter;;Centrum-West;5237298;488198;Entire home/apt;400;2;47;04.06.19;0.81;1;201
3967460;sunny apartment with roofterrace!;5909087;Willem;;Westerpark;5238448;487364;Entire home/apt;120;4;3;19.05.19;0.06;1;0
3969582;Appartment in centre on canal/wifi;20572725;Paul;;De Baarsjes - Oud-West;5236428;487169;Entire home/apt;149;4;38;01.05.18;0.67;1;1
3973121;Beautiful cozy apartment at the lively East;20592810;Hélène;;Oud-Oost;5236437;492546;Entire home/apt;150;2;21;27.11.17;0.61;1;0
3974283;Lovely luxurious apartment in the Pijp (75m2);16819959;Jenny;;De Pijp - Rivierenbuurt;5234991;489655;Entire home/apt;98;2;32;01.07.19;0.55;1;190
3975175;Modern appartment with roof terrace;20602064;Bernard;;De Pijp - Rivierenbuurt;5235574;490202;Entire home/apt;199;3;53;14.04.19;0.92;1;0
3977838;Cosy city centre app. +roofterrace;20614664;Julia;;Centrum-Oost;5235847;489442;Entire home/apt;139;2;11;26.05.18;0.19;1;0
3982031;Top location, quiet guesthouse, 2p;13527741;Mischa;;Centrum-Oost;5236093;489674;Entire home/apt;140;5;87;26.06.19;Jan/51;1;140
3982082;Sweet apartment on super location;20355773;Miauw;;Centrum-West;523713;488567;Private room;169;1;22;08.10.18;0.39;4;121
3982152;Ground floor apartment with garden;20056617;Victor;;De Pijp - Rivierenbuurt;5235515;490018;Entire home/apt;95;5;12;23.06.16;0.21;1;0
3982319;★ Modern Design AirBnB Apartment central Amsterdam;20572774;Stephan;;Westerpark;5238223;486874;Entire home/apt;165;3;61;04.04.19;01. Apr;1;0
3983479;Modern house 15 min from the center;20647485;Margot;;De Aker - Nieuw Sloten;523492;478819;Entire home/apt;292;3;16;22.04.19;0.37;1;365
3984502;Spacious design apartment with garden in Amsterdam;10758064;Bernice;;Zuid;5234852;484857;Entire home/apt;119;2;0;;;1;0
3985308;Bright apartment with roof terrace;98829;Jelmer & Sarah;;De Baarsjes - Oud-West;5236695;486703;Entire home/apt;145;5;60;30.06.19;01. Feb;1;4
3986488;Trendy apartment @ 'Museum Square';8873764;Petra;;Zuid;5235426;487725;Entire home/apt;150;5;4;29.04.17;0.07;1;0
3986654;(Website hidden by Airbnb) T;20663524;Frank;;Centrum-Oost;5236012;490342;Entire home/apt;115;3;6;06.04.15;0.10;1;0
3990045;Groot, modern, mooi gezinshuis.;7736832;Robert;;Noord-Oost;5240842;49347;Entire home/apt;196;2;7;17.04.17;0.14;1;0
3996622;The Perfect Place in Amsterdam;3747992;Nadine;;De Baarsjes - Oud-West;5237144;484957;Entire home/apt;105;5;6;30.03.16;0.11;1;0
3996686;Beautiful, spacious, central and quiet;20664546;Maureen;;Centrum-Oost;5237092;490306;Entire home/apt;350;4;34;13.05.19;0.58;1;5
